[100,150]
(0,0)
(149,99) | (112,20)
(6,75,1,1)
(47,47,4,1)
(126,29,2,1)
(35,26,1,1)
(58,17,1,1)
(114,28,3,1)
(77,27,3,1)
(25,22,3,1)
(49,43,1,2)
(95,75,2,1)
(110,22,1,4)
(88,83,5,1)
(53,17,4,1)
(28,46,1,5)
(136,1,5,1)
(135,60,1,5)
(11,86,1,2)
(7,38,1,1)
(7,9,1,4)
(136,32,5,1)
(143,58,1,5)
(105,4,3,1)
(18,66,2,1)
(133,53,1,1)
(53,2,1,3)
(99,98,1,1)
(121,11,1,1)
(38,10,2,1)
(145,7,5,1)
(53,32,1,1)
(40,23,1,1)
(2,8,1,1)
(74,81,5,1)
(140,54,1,5)
(62,91,1,1)
(47,10,1,4)
(59,15,5,1)
(34,73,5,1)
(121,30,1,3)
(23,53,3,1)
(40,57,5,1)
(86,51,1,2)
(38,91,3,1)
(74,45,2,1)
(22,69,5,1)
(105,8,1,1)
(125,69,1,3)
(140,13,1,5)
(123,8,3,1)
(30,41,1,5)
(101,82,4,1)
(48,41,5,1)
(26,50,2,1)
(90,81,1,5)
(109,4,1,4)
(146,83,1,5)
(40,35,5,1)
(129,40,1,3)
(5,42,1,1)
(32,53,1,5)
(102,19,1,2)
(22,8,1,3)
(132,48,1,1)
(12,18,3,1)
(87,80,2,1)
(41,91,1,3)
(144,15,1,2)
(147,16,3,1)
(20,22,1,2)
(45,33,5,1)
(69,44,1,2)
(49,59,1,3)
(88,74,1,1)
(118,15,3,1)
(99,19,1,1)
(38,85,1,1)
(24,1,5,1)
(85,90,1,1)
(149,29,1,3)
(3,95,3,1)
(104,44,1,1)
(61,84,1,1)
(142,96,1,2)
(121,57,1,3)
(47,25,3,1)
(8,22,1,4)
(104,75,5,1)
(39,67,1,4)
(140,45,1,4)
(144,47,4,1)
(82,40,1,2)
(46,33,5,1)
(28,80,1,4)
(2,62,1,5)
(126,8,1,3)
(60,32,1,2)
(147,56,1,1)
(36,78,2,1)
(90,35,1,3)
(46,3,3,1)
(75,53,1,3)
(124,66,1,3)
(12,32,1,4)
(13,41,1,5)
(12,91,1,4)
(40,43,1,5)
(65,57,1,2)
(32,52,5,1)
(66,55,3,1)
(135,70,1,3)
(135,27,4,1)
(16,56,3,1)
(84,81,1,2)
(35,93,3,1)
(37,37,1,2)
(111,20,1,2)
(24,58,1,4)
(65,53,1,3)
(3,49,1,1)
(130,69,1,1)
(86,31,1,3)
(131,97,1,1)
(23,41,3,1)
(38,70,5,1)
(24,54,2,1)
(75,75,3,1)
(99,56,1,1)
(32,94,1,4)
(118,27,2,1)
(99,17,1,1)
(113,25,1,1)
(75,24,5,1)
(7,5,1,5)
(117,94,1,2)
(40,13,1,5)
(44,79,5,1)
(115,80,1,2)
(90,96,1,4)
(142,40,1,2)
(100,96,1,2)
(0,1,1,2)
(57,61,1,1)
(107,23,1,2)
(56,86,3,1)
(111,38,1,1)
(81,1,5,1)
(18,5,1,4)
(111,5,2,1)
(42,33,1,3)
(72,58,1,5)
(46,34,1,2)
(41,18,1,3)
(14,78,1,2)
(113,58,1,2)
(68,59,4,1)
(0,18,3,1)
(3,31,3,1)
(47,52,2,1)
(6,51,5,1)
(12,38,1,1)
(137,68,1,5)
(83,63,3,1)
(140,7,2,1)
(93,83,2,1)
(132,56,4,1)
(41,38,1,4)
(47,69,3,1)
(54,6,1,2)
(30,21,1,1)
(117,93,3,1)
(92,66,1,2)
(104,48,4,1)
(123,14,4,1)
(16,99,3,1)
(106,1,2,1)
(36,25,1,1)
(99,14,1,3)
(117,91,1,5)
(99,48,5,1)
(109,67,1,4)
(122,64,2,1)
(101,9,2,1)
(67,8,3,1)
(54,97,1,3)
(101,32,1,1)
(51,28,3,1)
(77,73,4,1)
(57,69,1,1)
(12,61,1,3)
(87,52,1,2)
(45,13,1,1)
(18,9,5,1)
(123,37,4,1)
(10,71,4,1)
(107,26,1,3)
(52,20,3,1)
(17,60,1,4)
(25,95,4,1)
(112,4,1,3)
(43,26,1,2)
(59,81,1,1)
(131,80,4,1)
(49,77,4,1)
(21,55,1,2)
(122,90,1,1)
(58,98,1,2)
(57,29,2,1)
(73,38,1,3)
(33,10,1,2)
(111,33,1,4)
(94,86,1,5)
(111,63,1,2)
(89,11,1,1)
(74,36,1,2)
(18,51,1,1)
(29,32,1,2)
(27,62,1,2)
(118,55,2,1)
(44,29,1,2)
(74,18,1,4)
(48,79,4,1)
(113,35,1,1)
(93,22,3,1)
(76,69,1,1)
(142,75,1,4)
(61,11,1,1)
(22,84,1,1)
(59,64,1,5)
(120,1,1,4)
(22,40,4,1)
(113,18,1,2)
(56,85,2,1)
(115,83,4,1)
(127,52,2,1)
(42,66,2,1)
(87,59,1,3)
(137,95,1,5)
(61,43,1,5)
(35,51,4,1)
(127,69,5,1)
(1,63,1,1)
(133,50,1,1)
(34,42,2,1)
(20,89,1,5)
(77,81,2,1)
(87,44,5,1)
(74,92,1,3)
(127,56,2,1)
(87,91,1,4)
(128,42,3,1)
(148,48,1,4)
(56,16,1,1)
(130,60,1,4)
(49,55,1,5)
(82,29,1,5)
(62,48,4,1)
(5,90,4,1)
(147,97,2,1)
(26,21,1,3)
(72,92,5,1)
(34,13,1,1)
(97,48,1,3)
(38,17,1,3)
(46,58,5,1)
(54,81,2,1)
(101,78,1,1)
(75,80,1,3)
(91,91,1,4)
(65,57,1,3)
(109,57,2,1)
(79,93,4,1)
(143,49,1,1)
(89,1,1,3)
(93,79,5,1)
(18,93,5,1)
(114,90,2,1)
(57,42,4,1)
(106,60,1,5)
(117,27,4,1)
(86,11,1,3)
(104,56,5,1)
(42,41,4,1)
(127,59,1,2)
(6,8,1,2)
(88,34,2,1)
(87,50,2,1)
(66,6,5,1)
(100,10,1,4)
(33,72,2,1)
(117,38,5,1)
(111,37,1,5)
(134,67,4,1)
(89,13,1,1)
(4,43,5,1)
(74,24,1,2)
(9,90,1,2)
(22,60,1,1)
(144,51,4,1)
(37,20,2,1)
(7,16,1,1)
(101,57,1,5)
(101,28,2,1)
(72,36,4,1)
(86,21,5,1)
(20,4,1,4)
(148,28,1,1)
(22,31,5,1)
(38,2,5,1)
(114,63,1,1)
(52,46,2,1)
(80,60,2,1)
(93,48,2,1)
(38,39,3,1)
(52,14,1,3)
(28,41,1,4)
(22,98,5,1)
(112,37,1,3)
(12,24,1,1)
(130,89,1,2)
(27,97,1,1)
(9,67,1,3)
(67,77,1,2)
(17,23,5,1)
(23,47,5,1)
(92,10,1,5)
(2,28,4,1)
(35,95,2,1)
(65,96,5,1)
(19,68,5,1)
(43,13,1,3)
(81,57,3,1)
(8,35,1,3)
(7,87,1,3)
(2,31,1,2)
(113,58,1,5)
(123,34,5,1)
(11,77,1,1)
(31,60,4,1)
(100,59,1,1)
(148,6,1,1)
(145,28,5,1)
(15,32,1,4)
(126,20,4,1)
(80,9,1,3)
(62,29,4,1)
(46,8,1,4)
(142,90,1,1)
(34,38,1,1)
(132,88,1,1)
(9,18,1,5)
(120,67,1,5)
(115,41,2,1)
(140,2,1,2)
(37,83,1,1)
(42,57,1,4)
(11,43,4,1)
(137,9,1,1)
(56,48,1,1)
(33,2,1,5)
(62,16,3,1)
(106,12,1,1)
(8,42,1,3)
(11,13,1,3)
(15,81,1,1)
(52,17,1,1)
(141,54,1,5)
(47,67,1,1)
(1,77,1,2)
(122,26,1,5)
(138,89,1,4)
(124,2,1,3)
(146,24,1,2)
(65,5,1,5)
(107,83,1,4)
(107,19,1,2)
(105,75,3,1)
(31,8,2,1)
(72,14,5,1)
(56,28,4,1)
(86,92,5,1)
(65,19,1,5)
(51,79,4,1)
(88,60,3,1)
(42,91,1,3)
(125,75,1,4)
(88,58,2,1)
(11,86,1,2)
(112,78,4,1)
(108,55,1,1)
(79,47,1,2)
(105,10,1,1)
(64,86,5,1)
(86,8,4,1)
(72,38,1,1)
(143,8,5,1)
(98,64,2,1)
(102,99,4,1)
(51,89,3,1)
(132,63,1,3)
(75,3,4,1)
(27,55,1,4)
(86,31,1,1)
(44,6,1,3)
(2,78,2,1)
(33,96,5,1)
(89,56,1,4)
(19,32,1,1)
(43,85,3,1)
(31,26,5,1)
(80,28,1,1)
(90,94,1,1)
(106,77,1,5)
(95,35,1,5)
(86,3,1,5)
(87,67,1,1)
(142,78,1,3)
(55,13,1,1)
(92,94,1,1)
(143,59,3,1)
(102,57,1,5)
(14,77,5,1)
(28,7,1,2)
(115,17,3,1)
(9,56,5,1)
(99,70,1,5)
(109,25,5,1)
(139,75,1,3)
(30,96,1,4)
(130,31,1,1)
(100,37,1,1)
(140,81,3,1)
(20,8,1,1)
(95,49,1,3)
(90,46,1,3)
(127,98,5,1)
(37,6,5,1)
(128,11,1,3)
(147,21,1,3)
(112,68,1,1)
(37,86,1,4)
(21,40,1,3)
(51,62,1,5)
(81,50,1,3)
(44,64,1,2)
(19,14,3,1)
(21,8,2,1)
(137,8,1,1)
(19,71,1,1)
(46,37,5,1)
(147,62,1,1)
(78,8,1,1)
(128,73,1,4)
(26,90,5,1)
(88,94,5,1)
(68,56,2,1)
(130,25,1,2)
(87,93,1,3)
(82,7,1,4)
(81,65,1,1)
(84,81,5,1)
(56,2,1,3)
(114,3,1,2)
(55,64,1,4)
(51,8,2,1)
(131,25,4,1)
(36,76,1,5)
(91,79,4,1)
(7,10,1,2)
(33,37,1,3)
(100,16,1,5)
(45,48,1,1)
(102,70,5,1)
(120,27,1,4)
(27,39,1,3)
(50,25,1,2)
(9,24,1,3)
(51,44,5,1)
(56,48,1,1)
(107,34,1,5)
(29,82,3,1)
